age,balance,campaign,pdays,previous,log_duration,month_sin,month_cos,poutcome_num,default_bin,housing_bin,loan_bin,job_admin.,job_blue-collar,job_entrepreneur,job_housemaid,job_management,job_retired,job_self-employed,job_services,job_student,job_technician,job_unemployed,job_unknown,marital_divorced,marital_married,marital_single,education_primary,education_secondary,education_tertiary,education_unknown,contact_cellular,contact_telephone,contact_unknown,y
30,1787,1,-1,0,4.382026634673881,-0.8660254037844386,0.5000000000000001,0,0,0,0,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,0
33,4789,1,339,4,5.3981627015177525,0.49999999999999994,-0.8660254037844387,-1,0,1,1,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False,0
35,1350,1,330,1,5.225746673713202,0.8660254037844387,-0.4999999999999998,-1,0,1,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,0
30,1476,4,-1,0,5.298317366548036,1.2246467991473532e-16,-1.0,0,0,1,1,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,0
59,0,1,-1,0,5.424950017481403,0.49999999999999994,-0.8660254037844387,0,0,1,0,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,0
35,747,2,176,3,4.955827057601261,0.8660254037844386,0.5000000000000001,-1,0,0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,0
36,307,1,330,2,5.834810737062605,0.49999999999999994,-0.8660254037844387,0,0,1,0,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,0
39,147,2,-1,0,5.0238805208462765,0.49999999999999994,-0.8660254037844387,0,0,1,0,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,0
41,221,2,-1,0,4.060443010546419,0.49999999999999994,-0.8660254037844387,0,0,1,0,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,0
43,-88,1,147,2,5.749392985908253,0.8660254037844387,-0.4999999999999998,-1,0,1,1,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False,0
